state_std,E_total_age_18_greater,E_total_age_5_17
Andaman and Nicobar Islands,0,5
Andhra Pradesh,1495,13746
Arunachal Pradesh,151,2236
Assam,22877,66085
Bihar,11908,334802
Chandigarh,36,211
Chhattisgarh,1997,18769
Dadra and Nagar Haveli and Daman and Diu,4,88
Delhi,3050,22296
Goa,163,254
Gujarat,16336,71182
Haryana,1100,9110
Himachal Pradesh,186,661
Jammu and Kashmir,0,22
Jharkhand,1449,57539
Karnataka,10110,33863
Kerala,2675,18590
Ladakh,18,133
Lakshadweep,1,10
Madhya Pradesh,9599,116381
Maharashtra,8209,82116
Manipur,263,8053
Meghalaya,35287,53305
Mizoram,495,1295
Nagaland,1122,9953
Odisha,739,22817
Puducherry,44,195
Punjab,3172,12350
Rajasthan,5555,113123
Sikkim,106,1047
Tamil Nadu,1249,37227
Telangana,1151,24505
Tripura,255,3654
Uttar Pradesh,17902,479682
Uttarakhand,339,5479
West Bengal,8510,91410
India,167553,1712194
