
00,000,INDIA,  1901 $," 23,83,96,327 ",                ---,              ---," 12,07,91,301 "," 11,73,58,672 "
,,,1911," 25,20,93,390 "," + 13,697,063 ",+5.75," 12,83,85,368 "," 12,37,08,022 "
,,,1921," 25,13,21,213 "," - 772,177 ",- 0.31," 12,85,46,225 "," 12,27,74,988 "
,,,   1931 $," 27,89,77,238 "," +27,656,025 ",+11.00," 14,29,29,689 "," 13,57,88,921 "
,,,   1941 $," 31,86,60,580 "," +39,683,342 ",+14.22," 16,36,85,302 "," 15,46,90,267 "
,,,    1951 @," 36,10,88,090 "," +42,420,485 ",+13.31," 18,55,28,462 "," 17,55,59,628 "
,,,    1961 @," 43,92,34,771 "," +77,682,873 ",+21.51," 22,62,93,201 "," 21,29,41,570 "
,,,1971," 54,81,59,652 "," +108,924,881 ",+24.80," 28,40,49,276 "," 26,41,10,376 "
,,,     1981 #  ," 68,33,29,097 "," +135,169,445 ",+24.66," 35,33,74,460 "," 32,99,54,637 "
,,,   1991 +," 84,64,21,039 "," +163,091,942 ",+23.87," 43,93,58,440 "," 40,70,62,599 "
,,,     2001 ++," 1,02,87,37,436 "," +182,316,397 ",+21.54," 53,22,23,090 "," 49,65,14,346 "
,,,2011," 1,21,08,54,977 ","+18,21,17,541",+17.70," 62,32,70,258 "," 58,75,84,719 "
,,,,,,,,
01,000,Jammu & Kashmir,1901," 21,39,362 ",                ---,              ---," 11,36,766 "," 10,02,596 "
,,,1911," 22,92,535 "," +153,173 ",+7.16," 12,22,305 "," 10,70,230 "
,,,1921," 24,24,359 "," +131,824 ",+5.75," 12,96,205 "," 11,28,154 "
,,,1931," 26,70,208 "," +245,849 ",+10.14," 14,31,801 "," 12,38,407 "
,,,1941," 29,46,728 "," +276,520 ",+10.36," 15,77,021 "," 13,69,707 "
,,,1951," 32,53,852 "," +307,124 ",+10.42," 17,36,827 "," 15,17,025 "
,,,1961," 35,60,976 "," +307,124 ",+9.44," 18,96,633 "," 16,64,343 "
,,,1971," 46,16,632 "," +1,055,656 ",+29.65," 24,58,315 "," 21,58,317 "
,,,1981," 59,87,389 "," +1,370,757 ",+29.69," 31,64,660 "," 28,22,729 "
,,,   1991 +," 78,37,051 "," +1,849,662 ",+30.89," 41,42,082 "," 36,94,969 "
,,,2001," 1,01,43,700 "," +2,306,649 ",+29.43," 53,60,926 "," 47,82,774 "
,,,2011," 1,25,41,302 "," +2,397,602 ",+23.64," 66,40,662 "," 59,00,640 "
,,,,,,,,
02,000,Himachal Pradesh,1901," 19,20,294 ",                   ---,               ---," 10,19,069 "," 9,01,225 "
,,,1911," 18,96,944 "," - 23,350 ",- 1.22," 10,04,183 "," 8,92,761 "
,,,1921," 19,28,206 "," +31,262 ",+1.65," 10,20,201 "," 9,08,005 "
,,,1931," 20,29,113 "," +100,907 ",+5.23," 10,69,540 "," 9,59,573 "
,,,1941," 22,63,245 "," +234,132 ",+11.54," 11,97,620 "," 10,65,625 "
,,,1951," 23,85,981 "," +122,736 ",+5.42," 12,47,826 "," 11,38,155 "
,,,1961," 28,12,463 "," +426,482 ",+17.87," 14,51,334 "," 13,61,129 "
,,,1971," 34,60,434 "," +647,971 ",+23.04," 17,66,957 "," 16,93,477 "
,,,1981," 42,80,818 "," +820,384 ",+23.71," 21,69,931 "," 21,10,887 "
,,,1991," 51,70,877 "," +890,059 ",+20.79," 26,17,467 "," 25,53,410 "
,,,2001," 60,77,900 "," +907,023 ",+17.54," 30,87,940 "," 29,89,960 "
,,,2011," 68,64,602 "," +786,702 ",+12.94," 34,81,873 "," 33,82,729 "
,,,,,,,,
03,000,Punjab,1901," 75,44,790 ",                   ---,               ---," 41,18,386 "," 34,26,404 "
,,,1911," 67,31,510 ","- 813,280",-10.78," 37,82,236 "," 29,49,274 "
,,,1921," 71,52,811 ","+ 421,301",+6.26," 39,76,180 "," 31,76,631 "
,,,1931," 80,12,325 ","+ 859,514",+12.02," 44,15,292 "," 35,97,033 "
,,,1941," 96,00,236 ","+1,587,911",+19.82," 52,28,280 "," 43,71,956 "
,,,1951," 91,60,500 ","- 439,736",-4.58," 49,68,206 "," 41,92,294 "
,,,1961," 1,11,35,069 ","+1,974,569",+21.56," 60,07,566 "," 51,27,503 "
,,,1971," 1,35,51,060 ","+ 2,415,991",+21.70," 72,66,515 "," 62,84,545 "
,,,1981," 1,67,88,915 ","+ 3,237,855",+23.89," 89,37,210 "," 78,51,705 "
,,,1991," 2,02,81,969 ","+ 3,493,054",+20.81," 1,07,78,034 "," 95,03,935 "
,,,2001," 2,43,58,999 ","+ 4,077,030",+20.10," 1,29,85,045 "," 1,13,73,954 "
