Region,Census_Year,Persons,Males,Females
INDIA,2007,1180401246,609793777,570637982
INDIA,2008,1211539922,625810003,585762351
INDIA,2009,1243746004,642370388,601409908
INDIA,2010,1277060777,659495784,617601081
INDIA,2011,1311527295,677207930,634357182
INDIA,2012,1347190461,695529485,651700448
INDIA,2013,1384097116,714484079,669654085
INDIA,2014,1422296126,734096352,688242315
INDIA,2015,1461838480,754392002,707490420
INDIA,2016,1502777385,775397836,727424796
INDIA,2017,1545168376,797141819,748073005
INDIA,2018,1589069420,819653130,769463831
INDIA,2019,1634541036,842962218,791627335
INDIA,2020,1681646413,867100861,814594923
INDIA,2021,1730451537,892102230,838399403
INDIA,2022,1781025328,918000952,863075059
INDIA,2023,1833439777,944833185,888657719
INDIA,2024,1887770094,972636682,915184832
INDIA,2025,1944094864,1001450874,942695544
Jammu & Kashmir,2007,11634614,6140709,5494119
Jammu & Kashmir,2008,11990739,6326703,5664289
Jammu & Kashmir,2009,12361095,6520062,5841332
Jammu & Kashmir,2010,12746326,6721115,6025560
Jammu & Kashmir,2011,13147106,6930206,6217304
Jammu & Kashmir,2012,13564144,7147700,6416908
Jammu & Kashmir,2013,13998183,7373976,6624736
Jammu & Kashmir,2014,14450005,7609436,6841172
Jammu & Kashmir,2015,14920433,7854499,7066615
Jammu & Kashmir,2016,15410328,8109607,7301490
Jammu & Kashmir,2017,15920600,8375224,7546240
Jammu & Kashmir,2018,16452202,8651837,7801334
Jammu & Kashmir,2019,17006138,8939959,8067262
Jammu & Kashmir,2020,17583464,9240129,8344543
Jammu & Kashmir,2021,18185291,9552913,8633721
Jammu & Kashmir,2022,18812786,9878907,8935370
Jammu & Kashmir,2023,19467181,10218738,9250095
Jammu & Kashmir,2024,20149768,10573066,9578531
Jammu & Kashmir,2025,20861913,10942584,9921348
Himachal Pradesh,2007,6829128,3446823,3383000
Himachal Pradesh,2008,6992494,3527344,3465929
Himachal Pradesh,2009,7161277,3610506,3551640
Himachal Pradesh,2010,7335680,3696405,3640239
Himachal Pradesh,2011,7515914,3785143,3731836
Himachal Pradesh,2012,7702200,3876827,3826546
Himachal Pradesh,2013,7894766,3971567,3924487
Himachal Pradesh,2014,8093853,4069478,4025784
Himachal Pradesh,2015,8299709,4170679,4130568
Himachal Pradesh,2016,8512595,4275295,4238974
Himachal Pradesh,2017,8732781,4383457,4351144
Himachal Pradesh,2018,8960551,4495301,4467224
Himachal Pradesh,2019,9196200,4610968,4587369
Himachal Pradesh,2020,9440035,4730605,4711740
Himachal Pradesh,2021,9692378,4854367,4840504
Himachal Pradesh,2022,9953564,4982415,4973837
Himachal Pradesh,2023,10223943,5114915,5111921
Himachal Pradesh,2024,10503880,5252043,5254948
Himachal Pradesh,2025,10793756,5393982,5403116
Punjab,2007,27254792,14391100,12866191
Punjab,2008,27906176,14726924,13182014
Punjab,2009,28578837,15073575,13508304
Punjab,2010,29273560,15431450,13845451
Punjab,2011,29991163,15800957,14193863
Punjab,2012,30732496,16182524,14553967
Punjab,2013,31498446,16576595,14926205
Punjab,2014,32289937,16983633,15311039
Punjab,2015,33107931,17404121,15708950
Punjab,2016,33953429,17838560,16120440
Punjab,2017,34827477,18287473,16546033
Punjab,2018,35731163,18751404,16986273
Punjab,2019,36665623,19230922,17441731
Punjab,2020,37632039,19726618,17912999
Punjab,2021,38631645,20239108,18400696
Punjab,2022,39665727,20769034,18905469
Punjab,2023,40735627,21317066,19427991
Punjab,2024,41842744,21883903,19968967
Punjab,2025,42988538,22470273,20529129
Chandigarh,2007,1424145,790030,634202
Chandigarh,2008,1535531,850787,684916
Chandigarh,2009,1656620,916749,740147
Chandigarh,2010,1788331,988398,800332
Chandigarh,2011,1931670,1066266,865952
Chandigarh,2012,2087749,1150937,937537
Chandigarh,2013,2257793,1243053,1015674
Chandigarh,2014,2443149,1343321,1101010
Chandigarh,2015,2645308,1452520,1194263
Chandigarh,2016,2865911,1571508,1296222
Chandigarh,2017,3106773,1701231,1407766
Chandigarh,2018,3369896,1842732,1529863
Chandigarh,2019,3657496,1997161,1663589
Chandigarh,2020,3972020,2165789,1810134
Chandigarh,2021,4316178,2350019,1970818
Chandigarh,2022,4692967,2551402,2147107
Chandigarh,2023,5105707,2771650,2340626
Chandigarh,2024,5558078,3012661,2553181
Chandigarh,2025,6054156,3276530,2786779
Uttarakhand,2007,9830620,5015490,4815245
Uttarakhand,2008,10095070,5148454,4946766
Uttarakhand,2009,10368802,5286035,5082957
Uttarakhand,2010,10652184,5428413,5224004
Uttarakhand,2011,10945600,5575778,5370102
Uttarakhand,2012,11249451,5728326,5521456
Uttarakhand,2013,11564155,5886264,5678279
Uttarakhand,2014,11890150,6049805,5840793
Uttarakhand,2015,12227892,6219175,6009231
Uttarakhand,2016,12577858,6394607,6183836
Uttarakhand,2017,12940546,6576346,6364863
Uttarakhand,2018,13316477,6764647,6552578
Uttarakhand,2019,13706196,6959777,6747258
Uttarakhand,2020,14110271,7162015,6949194
Uttarakhand,2021,14529297,7371652,7158691
Uttarakhand,2022,14963896,7588992,7376065
Uttarakhand,2023,15414719,7814354,7601650
Uttarakhand,2024,15882445,8048070,7835795
Uttarakhand,2025,16367786,8290489,8078862
Haryana,2007,25100728,13408790,11691910
Haryana,2008,25957328,13865216,12092082
Haryana,2009,26851499,14341643,12509827
Haryana,2010,27785103,14839059,12946013
Haryana,2011,28760099,15358508,13401559
Haryana,2012,29778557,15901089,13877434
Haryana,2013,30842661,16467964,14374660
Haryana,2014,31954713,17060358,14894314
Haryana,2015,33117146,17679565,15437537
Haryana,2016,34332529,18326950,16005530
Haryana,2017,35603574,19003956,16599563
